merchant_id,transaction_id,date,transaction_amount,success,payment_method
M_1102,T_100000,2026-04-29 00:00:00,1515.0607154587606,1,Card
M_1102,T_100001,2026-03-02 00:00:00,94.7981459573026,1,NetBanking
M_1099,T_100002,2026-02-12 00:00:00,625.6250308522951,1,Wallet
M_1157,T_100003,2025-12-08 00:00:00,10.389534618329115,0,Card
M_1057,T_100004,2025-11-22 00:00:00,13.54569489723492,1,Card
M_1169,T_100005,2025-11-15 00:00:00,314.4673439298875,1,UPI
M_1054,T_100006,2026-01-03 00:00:00,324.394550270428,1,Card
M_1072,T_100007,2026-04-16 00:00:00,16.67686330562456,0,Card
M_1008,T_100008,2026-01-29 00:00:00,61.38865750125312,1,UPI
M_1198,T_100009,2026-04-21 00:00:00,351.7736140670751,1,Wallet
M_1163,T_100010,2025-12-20 00:00:00,553.1278992824901,1,Card
M_1105,T_100011,2025-11-04 00:00:00,112.19429975395288,0,Card
M_1161,T_100012,2025-11-14 00:00:00,659.6401511370334,1,Card
M_1189,T_100013,2025-12-10 00:00:00,940.6636237223086,1,Card
M_1023,T_100014,2026-04-03 00:00:00,1689.8642228304248,1,UPI
M_1156,T_100015,2025-11-15 00:00:00,100.32164637141285,1,UPI
M_1128,T_100016,2026-03-16 00:00:00,12.768710187967738,1,Card
M_1162,T_100017,2026-04-12 00:00:00,747.6072630217567,1,UPI
M_1006,T_100018,2026-01-11 00:00:00,308.41936245231483,1,UPI
M_1061,T_100019,2025-12-07 00:00:00,663.9378919788704,1,NetBanking
M_1192,T_100020,2026-02-09 00:00:00,1792.6604823010755,1,Card
M_1141,T_100021,2026-02-11 00:00:00,30.636876158321655,1,UPI
M_1123,T_100022,2026-04-28 00:00:00,25.96684064652691,1,UPI
M_1095,T_100023,2026-03-12 00:00:00,1200.6327649229877,1,UPI
M_1003,T_100024,2025-11-13 00:00:00,50.05213927508818,1,UPI
M_1065,T_100025,2026-04-19 00:00:00,835.4435402422847,1,NetBanking
M_1027,T_100026,2026-02-16 00:00:00,113.24773817931954,1,Card
M_1091,T_100027,2026-03-09 00:00:00,139.34337306969067,1,NetBanking
M_1002,T_100028,2026-02-11 00:00:00,99.95574355896764,1,UPI
M_1009,T_100029,2026-04-21 00:00:00,149.93997565358598,1,UPI
M_1179,T_100030,2026-02-21 00:00:00,43.54675629989471,1,UPI
M_1038,T_100031,2026-03-10 00:00:00,632.8673944235777,1,Wallet
